time,angle
0.000,0.000
0.001,0.000
0.002,0.000
0.003,0.000
0.003,0.000
0.004,0.000
0.014,0.000
0.028,0.000
0.041,0.000
0.055,0.000
0.068,0.000
0.081,0.000
0.096,0.000
0.109,0.000
0.122,0.000
0.136,0.000
0.149,0.000
0.163,0.000
0.177,0.000
0.190,0.000
0.203,0.000
0.216,0.000
0.231,0.000
0.244,0.000
0.257,0.000
0.271,0.000
0.284,0.176
0.298,0.176
0.312,0.176
0.325,0.176
0.338,0.176
0.352,0.176
0.366,0.352
0.379,0.352
0.393,0.352
0.406,0.352
0.419,0.352
0.434,0.352
0.447,0.527
0.460,0.527
0.473,0.527
0.487,0.527
0.501,0.527
0.514,0.527
0.528,0.703
0.541,0.703
0.554,0.703
0.569,0.703
0.582,0.703
0.595,0.703
0.609,0.703
0.623,0.879
0.636,0.879
0.650,0.879
0.663,0.879
0.676,0.879
0.691,0.879
0.704,0.879
0.717,0.879
0.730,0.879
0.744,0.879
0.758,0.879
0.771,0.879
0.785,0.879
0.798,0.879
0.811,0.879
0.826,0.879
0.839,0.879
0.852,0.879
0.866,0.879
0.879,0.879
0.893,0.879
0.907,0.879
0.920,0.879
0.933,0.879
0.947,0.879
0.961,0.879
0.974,0.879
0.988,0.879
1.001,0.879
1.014,0.879
1.028,0.879
1.042,0.879
1.055,0.879
1.068,0.879
1.082,0.879
1.096,0.879
1.109,0.879
1.123,0.879
1.136,0.879
1.149,0.879
1.164,0.879
1.177,0.879
1.190,0.879
1.204,0.879
1.217,0.879
1.231,0.879
1.245,0.703
1.258,0.703
1.271,0.703
1.284,0.703
1.299,0.703
1.312,0.703
1.325,0.703
1.339,0.703
1.352,0.527
1.366,0.527
1.380,0.527
1.393,0.527
1.406,0.352
1.420,0.352
1.434,0.176
1.447,0.176
1.461,0.000
1.474,0.000
1.488,-0.176
1.503,-0.352
1.517,-0.527
1.531,-0.527
1.546,-0.703
1.561,-0.879
1.575,-1.230
1.590,-1.406
1.604,-1.582
1.618,-1.758
1.634,-1.758
1.648,-1.934
1.662,-2.109
1.677,-4.395
1.692,-6.504
1.706,-6.504
1.721,-6.504
1.735,-6.504
1.749,-6.680
1.765,-6.855
1.779,-6.855
1.793,-7.031
1.808,-7.031
1.823,-7.031
1.837,-7.207
1.852,-7.207
1.866,-7.207
1.880,-7.383
1.896,-7.383
1.910,-7.383
1.924,-7.383
1.939,-7.559
1.954,-7.559
1.969,-7.734
1.983,-8.086
1.997,-9.316
2.012,-11.953
2.028,-12.305
2.043,-12.305
2.059,-12.480
2.074,-12.480
2.090,-12.480
2.106,-12.480
2.121,-12.656
2.136,-12.656
2.152,-12.656
2.168,-12.656
2.184,-12.832
2.199,-12.832
2.214,-12.832
2.231,-12.832
2.246,-12.832
2.261,-13.008
2.277,-13.008
2.293,-13.008
2.308,-13.008
2.324,-13.008
2.339,-13.184
2.356,-13.184
2.371,-13.184
2.386,-13.184
2.402,-13.184
2.417,-13.359
2.433,-13.359
2.449,-13.359
2.464,-13.535
2.479,-13.535
2.496,-13.711
2.511,-13.887
2.527,-14.062
2.542,-14.766
2.558,-17.754
2.574,-17.578
2.589,-17.578
2.604,-17.578
2.621,-17.754
2.636,-17.754
2.652,-17.754
2.667,-17.754
2.682,-17.754
2.699,-17.754
2.714,-17.754
2.729,-17.754
2.745,-17.754
2.761,-17.754
2.776,-17.754
2.792,-17.754
2.807,-17.754
2.824,-17.754
2.839,-17.754
2.854,-17.754
2.870,-17.754
2.886,-17.754
2.901,-17.754
2.917,-17.754
2.932,-17.754
2.947,-17.754
2.964,-17.754
2.979,-17.754
2.995,-17.754
3.010,-17.754
3.026,-17.754
3.042,-17.754
3.057,-17.754
3.072,-17.754
3.089,-17.754
3.104,-17.754
3.119,-17.754
3.135,-17.754
3.150,-17.578
3.167,-17.578
3.182,-17.578
3.197,-17.578
3.213,-17.578
3.229,-17.578
3.244,-17.578
3.260,-17.578
3.275,-17.578
3.292,-17.578
3.307,-17.578
3.322,-17.578
3.338,-17.578
3.354,-17.402
3.369,-17.402
3.385,-17.402
3.400,-17.227
3.415,-17.227
3.432,-17.051
3.447,-16.699
3.463,-15.820
3.478,-13.008
3.494,-12.656
3.510,-12.656
3.525,-12.480
3.540,-12.480
3.557,-12.480
3.572,-12.480
3.587,-12.305
3.603,-12.305
3.619,-12.129
3.635,-12.129
3.650,-11.953
3.665,-11.953
3.681,-11.953
3.697,-11.777
3.712,-11.777
3.728,-11.777
3.743,-11.602
3.759,-11.602
3.775,-11.426
3.790,-11.074
3.806,-8.613
3.821,-7.031
3.835,-6.855
3.850,-6.855
3.864,-6.855
3.878,-6.855
3.894,-6.855
3.908,-6.680
3.922,-6.680
3.937,-6.680
3.952,-6.504
3.966,-6.504
3.981,-6.504
3.995,-6.504
4.009,-6.328
4.025,-6.328
4.039,-6.328
4.053,-6.328
4.068,-6.328
4.082,-6.328
4.097,-6.328
4.112,-6.328
4.126,-6.328
4.140,-6.328
4.156,-6.328
4.170,-6.504
4.184,-6.504
4.199,-6.504
4.213,-6.680
4.228,-6.680
4.243,-6.680
4.257,-6.855
