time,angle
0.000,0.000
0.000,0.000
0.001,0.000
0.002,0.000
0.003,0.000
0.004,0.000
0.013,0.000
0.026,0.000
0.040,0.000
0.054,0.000
0.067,0.000
0.081,0.000
0.094,0.000
0.107,0.000
0.122,0.000
0.135,0.000
0.148,0.000
0.161,0.000
0.175,0.000
0.189,0.000
0.202,0.000
0.216,0.000
0.229,0.000
0.243,0.000
0.257,0.000
0.270,0.000
0.283,0.000
0.297,0.000
0.311,0.000
0.324,0.000
0.338,0.000
0.351,0.000
0.364,0.000
0.379,0.000
0.392,0.000
0.405,0.000
0.418,0.000
0.432,0.000
0.446,0.000
0.459,0.000
0.473,0.000
0.486,0.000
0.499,0.000
0.514,0.000
0.527,0.000
0.540,0.000
0.554,0.000
0.567,0.000
0.581,0.000
0.595,0.000
0.608,0.000
0.621,0.000
0.635,0.000
0.649,0.000
0.662,0.000
0.675,0.000
0.689,0.000
0.702,0.000
0.716,0.000
0.730,0.000
0.743,0.000
0.756,0.000
0.770,0.000
0.784,0.000
0.797,0.000
0.811,0.000
0.824,0.000
0.837,0.000
0.852,0.000
0.865,0.000
0.878,0.000
0.892,0.000
0.905,0.000
0.919,0.000
0.933,0.000
0.946,0.000
0.959,0.000
0.972,0.000
0.987,0.000
1.000,0.000
1.013,0.000
1.027,0.000
1.040,0.000
1.054,0.000
1.068,0.000
1.081,0.000
1.094,0.000
1.109,0.000
1.122,0.000
1.135,0.000
1.149,0.000
1.162,0.000
1.176,0.000
1.190,0.000
1.203,0.000
1.216,0.000
1.229,0.000
1.244,0.000
1.257,0.000
1.270,0.000
1.284,0.000
1.297,0.000
1.311,0.000
1.325,0.000
1.338,0.000
1.351,0.000
1.365,0.000
1.379,0.000
1.392,0.000
1.406,0.000
1.419,0.000
1.432,0.000
1.447,0.000
1.460,0.000
1.473,0.000
1.487,0.000
1.500,0.000
1.514,0.000
1.527,0.000
1.541,0.000
1.554,0.000
1.567,0.000
1.582,0.000
1.595,0.000
1.608,0.000
1.622,0.000
1.635,0.000
1.649,0.000
1.663,0.000
1.676,0.000
1.689,0.000
1.703,0.000
1.717,0.000
1.730,0.000
1.744,0.000
1.757,0.000
1.770,0.000
1.784,0.000
1.798,0.000
1.811,0.000
1.824,0.000
1.838,0.000
1.852,0.000
1.865,0.000
1.879,0.000
1.892,0.000
1.905,0.000
1.920,0.000
1.933,0.000
1.946,0.000
1.960,0.000
1.974,0.000
1.987,0.000
2.001,0.000
2.014,0.000
2.027,0.000
2.042,-0.176
2.056,-0.176
2.070,-0.176
2.085,-0.176
2.099,-0.176
2.114,-0.176
2.129,-0.176
2.143,-0.176
2.157,-0.176
2.172,-0.176
2.187,-0.176
2.201,-0.176
2.216,-0.176
2.230,-0.176
2.245,-0.352
2.260,-0.352
2.274,-0.352
2.288,-0.352
2.303,-0.352
2.318,-0.352
2.332,-0.352
2.347,-0.352
2.361,-0.352
2.376,-0.879
2.391,-3.691
2.405,-4.570
2.419,-4.922
2.434,-4.922
2.449,-5.098
2.463,-5.098
2.478,-5.273
2.492,-5.273
2.507,-5.273
2.522,-5.449
2.536,-5.449
2.550,-5.449
2.565,-5.625
2.580,-5.625
2.594,-5.625
2.609,-5.801
2.623,-5.801
2.637,-6.152
2.653,-11.250
2.668,-10.898
2.684,-10.723
2.699,-10.898
2.715,-10.898
2.731,-11.074
2.746,-11.074
2.761,-11.250
2.778,-11.426
2.793,-11.426
2.808,-11.953
2.824,-15.996
2.840,-16.172
2.856,-16.348
2.871,-16.348
2.886,-16.523
2.902,-16.699
2.918,-16.875
2.933,-17.051
2.949,-17.578
2.964,-17.754
2.981,-17.930
2.996,-18.281
3.011,-18.984
3.027,-21.094
3.043,-21.270
3.058,-21.270
3.074,-21.445
3.089,-21.445
3.105,-21.797
3.121,-22.148
3.136,-24.082
3.152,-24.258
3.167,-24.434
3.183,-24.609
3.199,-24.785
3.214,-24.785
3.229,-24.785
3.246,-24.785
3.261,-24.785
3.276,-24.785
3.292,-24.609
3.308,-24.609
3.324,-24.434
3.339,-24.434
3.354,-24.082
3.370,-23.555
3.386,-23.906
3.401,-24.785
3.417,-25.840
3.432,-26.543
3.448,-26.543
3.464,-26.719
3.479,-26.719
3.495,-26.719
3.511,-26.895
3.526,-26.895
3.542,-26.895
3.557,-26.895
3.573,-26.895
3.589,-26.895
3.604,-26.895
3.619,-26.895
3.635,-26.895
3.651,-26.895
3.667,-26.895
3.682,-26.895
3.697,-26.895
3.714,-26.895
3.729,-26.895
3.744,-26.895
3.760,-26.895
3.776,-26.895
3.792,-26.895
3.807,-26.895
3.822,-26.895
3.839,-27.070
3.854,-27.246
3.869,-28.301
3.885,-28.652
3.900,-29.355
3.916,-29.883
3.932,-30.059
3.947,-30.234
3.963,-30.410
3.979,-30.410
3.994,-30.410
4.010,-30.410
4.025,-30.586
4.041,-30.586
4.057,-30.586
4.072,-30.762
4.087,-30.762
4.104,-30.937
4.119,-30.937
4.135,-30.937
4.150,-31.113
4.165,-31.113
4.182,-31.113
4.197,-31.113
4.212,-31.113
4.228,-31.113
4.244,-31.113
4.259,-31.113
4.275,-31.113
4.290,-31.289
4.307,-31.289
4.322,-31.289
4.337,-31.465
4.353,-31.816
4.368,-31.992
4.384,-32.520
4.400,-32.871
4.415,-33.223
4.431,-33.398
4.447,-33.574
4.462,-33.574
4.478,-33.750
4.493,-33.926
4.509,-33.926
4.525,-33.926
4.540,-34.102
4.555,-34.102
4.572,-33.926
4.587,-33.926
4.603,-33.926
4.618,-33.750
4.633,-33.574
4.650,-33.223
4.665,-32.344
4.680,-30.586
4.696,-30.410
4.712,-30.234
4.727,-29.707
4.743,-27.949
4.758,-26.543
4.775,-25.312
4.790,-24.434
4.805,-23.555
4.821,-20.742
4.837,-20.566
4.852,-17.227
4.868,-16.172
4.883,-15.645
4.898,-14.062
4.915,-11.074
4.930,-9.844
4.945,-9.668
4.959,-5.449
4.974,-4.219
4.989,-3.516
5.003,-3.340
5.017,-0.527
5.032,1.582
5.046,2.988
5.059,5.449
5.073,6.855
5.086,7.031
5.099,7.383
5.114,7.734
5.127,14.238
5.141,13.711
5.155,14.238
5.171,14.941
5.185,16.699
5.200,19.336
5.214,19.512
5.228,20.918
5.244,23.730
5.258,23.730
5.272,23.906
5.287,24.082
5.302,24.258
5.316,25.664
5.331,28.652
5.345,28.652
5.359,28.828
5.375,28.828
5.389,28.828
5.403,28.828
5.418,28.828
5.432,29.004
5.447,29.004
5.462,29.004
5.476,29.004
5.490,29.004
5.506,29.004
5.520,28.828
5.534,28.652
5.549,28.301
5.563,27.773
5.578,26.719
5.593,25.840
5.607,23.730
5.621,23.555
5.637,23.203
5.651,21.797
5.665,19.687
5.680,18.281
5.694,18.105
5.709,17.754
5.724,12.129
5.738,12.129
5.752,11.777
5.768,11.602
5.782,10.898
5.797,3.867
5.810,5.449
5.823,1.055
5.837,0.703
5.851,0.352
5.864,0.176
5.877,-1.055
5.892,-4.395
5.907,-5.977
5.921,-6.855
5.936,-10.371
5.951,-11.250
5.968,-11.602
5.983,-14.590
5.998,-17.227
6.014,-17.578
6.029,-18.105
6.045,-21.094
6.061,-22.500
6.076,-24.082
6.091,-24.961
6.108,-26.191
6.123,-27.246
6.139,-27.949
6.154,-28.652
6.170,-30.234
6.186,-30.410
6.201,-30.762
6.216,-31.465
6.232,-31.992
6.248,-32.520
6.263,-33.047
6.279,-33.223
6.294,-33.398
6.311,-33.398
6.326,-33.398
6.341,-33.398
6.357,-33.398
6.373,-33.223
6.388,-33.047
6.404,-32.344
6.419,-31.465
6.435,-30.410
6.451,-30.059
6.466,-29.355
6.482,-27.773
6.497,-27.070
6.513,-25.488
6.529,-24.609
6.544,-22.500
6.559,-21.270
6.576,-20.566
6.591,-17.578
6.607,-16.172
6.622,-15.820
6.638,-14.590
6.654,-10.898
6.669,-10.020
6.684,-9.668
6.700,-6.680
6.714,-4.043
6.728,-3.867
6.743,-3.340
6.757,1.582
6.771,1.406
6.785,3.340
6.798,5.625
6.811,6.855
6.825,7.031
6.839,7.383
6.852,8.965
6.866,12.305
6.880,13.711
6.894,14.062
6.910,14.766
6.924,18.984
6.938,18.809
6.953,18.984
6.968,19.863
6.982,23.730
6.997,23.730
7.011,23.906
7.025,24.082
7.041,24.434
7.055,26.895
7.069,28.301
7.084,28.301
7.099,28.477
7.113,28.652
7.128,28.828
7.142,28.828
7.156,28.828
7.172,28.828
7.186,28.828
7.200,28.828
7.215,28.828
7.229,28.828
7.244,28.828
7.259,28.652
7.273,28.477
7.287,28.125
7.303,27.773
