time,angle
0.000,0.000
0.001,0.000
0.002,0.000
0.003,0.000
0.004,0.000
0.005,0.000
0.014,0.000
0.027,0.000
0.041,0.000
0.054,0.000
0.068,0.000
0.082,0.000
0.095,0.000
0.108,0.000
0.122,0.000
0.136,0.000
0.149,0.000
0.163,0.000
0.176,0.000
0.189,0.000
0.204,0.000
0.217,0.000
0.230,0.000
0.243,0.000
0.257,0.000
0.271,0.000
0.284,0.000
0.298,0.000
0.311,0.000
0.324,0.000
0.339,0.000
0.352,0.000
0.365,0.000
0.379,0.000
0.392,0.000
0.406,0.000
0.420,0.000
0.433,0.000
0.446,0.000
0.460,0.000
0.474,0.000
0.487,0.000
0.500,0.000
0.514,0.000
0.527,0.000
0.541,0.000
0.555,0.000
0.568,0.000
0.581,0.000
0.596,0.000
0.609,0.000
0.622,0.000
0.636,0.000
0.649,0.000
0.663,0.000
0.677,0.000
0.690,0.000
0.703,0.000
0.717,0.000
0.731,0.000
0.744,0.000
0.758,0.000
0.771,0.000
0.784,0.000
0.798,0.000
0.812,0.000
0.825,0.000
0.838,0.000
0.852,0.000
0.866,0.000
0.879,0.000
0.893,0.000
0.906,0.000
0.919,0.000
0.934,0.000
0.947,0.000
0.960,0.000
0.974,0.000
0.987,0.000
1.001,0.000
1.015,0.000
1.028,0.000
1.041,0.000
1.054,0.000
1.069,0.000
1.082,0.000
1.095,0.000
1.109,0.000
1.122,0.000
1.136,0.000
1.150,0.000
1.163,0.000
1.176,0.000
1.190,0.000
1.204,0.000
1.217,0.000
1.231,0.000
1.244,0.000
1.257,0.000
1.272,0.000
1.285,0.000
1.298,0.000
1.311,0.000
1.325,0.000
1.339,0.000
1.352,0.000
1.366,0.000
1.379,0.000
1.392,0.000
1.407,0.000
1.420,0.000
1.433,0.000
1.447,0.000
1.461,0.000
1.474,0.000
1.488,0.000
1.501,0.000
1.514,0.000
1.529,0.000
1.542,0.000
1.555,0.000
1.569,0.000
1.582,0.000
1.596,0.000
1.609,0.000
1.623,0.000
1.636,0.000
1.649,0.000
1.664,0.000
1.677,0.000
1.690,0.000
1.704,0.000
1.717,0.000
1.731,0.000
1.745,0.000
1.758,0.000
1.771,0.000
1.785,0.000
1.799,0.000
1.812,0.000
1.826,0.000
1.839,0.000
1.852,0.000
1.866,0.000
1.880,0.000
1.893,0.000
1.906,0.000
1.920,0.000
1.934,0.000
1.947,0.000
1.961,0.000
1.974,0.000
1.987,0.000
2.002,0.000
2.015,0.000
2.028,0.000
2.042,0.000
2.055,0.000
2.069,0.000
2.083,0.000
2.096,0.000
2.109,0.000
2.122,0.000
2.137,0.000
2.150,0.000
2.163,0.000
2.177,0.000
2.190,0.000
2.204,0.000
2.218,0.000
2.231,0.000
2.244,0.000
2.258,0.000
2.272,0.000
2.285,0.000
2.299,0.000
2.312,0.000
2.326,0.000
2.340,0.000
2.353,0.000
2.366,0.000
2.380,0.000
2.394,0.000
2.407,0.000
2.420,0.000
2.434,0.000
2.447,0.000
2.461,0.000
2.475,0.000
2.488,0.000
2.501,0.000
2.515,0.000
2.529,0.000
2.542,0.000
2.556,0.000
2.569,0.000
2.582,0.000
2.597,0.000
2.610,0.000
2.623,0.000
2.637,0.000
2.650,0.000
2.664,0.000
2.678,0.000
2.691,0.000
2.704,0.000
2.717,0.000
2.732,0.000
2.745,0.000
2.758,0.000
2.772,0.000
2.785,0.000
2.799,0.000
2.813,0.000
2.826,0.000
2.839,0.000
2.853,0.000
2.867,0.000
2.880,0.000
2.894,0.000
2.907,0.000
2.920,0.000
2.935,0.000
2.948,0.000
2.961,0.000
2.974,0.000
2.988,0.000
3.002,0.000
3.015,0.000
3.029,0.000
3.042,0.000
3.055,0.000
3.070,0.000
3.083,0.000
3.096,0.000
3.110,0.000
3.123,0.000
3.137,0.000
3.151,0.000
3.164,0.000
3.177,0.000
3.192,0.000
3.205,0.000
3.218,0.000
3.231,0.000
3.245,0.000
3.259,0.000
3.272,0.000
3.286,0.000
3.299,0.000
3.312,0.000
3.327,0.000
3.340,0.000
3.353,0.000
3.367,0.000
3.380,0.000
3.394,0.000
3.408,0.000
3.421,0.000
3.434,0.000
3.448,0.000
3.462,0.000
3.475,0.000
3.489,0.000
3.502,0.000
3.515,0.000
3.529,0.000
3.543,0.000
3.556,0.000
3.569,0.000
3.583,0.000
3.597,0.000
3.610,0.000
3.624,0.000
3.637,0.000
3.650,0.000
3.665,0.000
3.678,0.000
3.691,0.000
3.705,0.000
3.718,0.000
3.732,0.000
3.746,0.000
3.759,0.000
3.772,0.000
3.785,0.000
3.800,0.000
3.813,0.176
3.826,0.176
3.840,0.176
3.853,0.176
3.867,0.176
3.881,0.176
3.894,0.176
3.907,0.176
3.921,0.352
3.935,0.352
3.948,0.352
3.962,0.527
3.975,0.703
3.988,2.461
4.003,4.746
4.016,5.098
4.029,5.098
4.042,5.098
4.057,5.273
4.070,5.273
4.083,5.273
4.097,5.449
4.110,5.449
4.124,5.625
4.138,5.625
4.151,5.801
4.164,5.977
4.178,6.328
4.192,7.207
4.205,7.559
4.219,7.734
4.232,7.910
4.245,8.262
4.260,8.965
