,file_sizes
0,18436
1,16384
2,49152
3,44913
4,1138783
5,131088
6,2935127
7,3707133
8,209145
9,89558
10,38372
11,172819
12,13801
13,12579
14,135577
15,275607
16,61708
17,19561
18,36030
19,606392
20,1506813
21,49961
22,33451
23,43322
24,1029689
25,1265461
26,2430059
27,2277190
28,3845237
29,57440
30,35949
31,115143
32,14808737
33,352343
34,27128
35,97484
36,1246611
37,12722555
38,9794449
39,54979
40,214012
41,47883
42,48387
43,59169
44,568942
45,573379
46,21544
47,230870
48,25730
49,45612
50,113885
51,116131
52,49866
53,130031
54,134169
55,52071
56,55385
57,55410
58,57394
59,143450
60,68668
61,109196
62,92404
63,94567
64,57632
65,59704
66,65371
67,76509
68,106829
69,18906
70,32778
71,143686
72,262939
73,129828
74,484608
75,337840
76,497804
77,337818
78,374242
79,126727
80,128720
81,57364597
82,23552
83,175566
84,39895
85,2156322
86,18112
87,123613
88,67901
89,525814
90,23781
91,13821
92,51465
93,181444
94,23480
95,242707
96,193505
97,365846
98,807489
99,1846607
100,50829
101,36180
102,58408
103,48468
104,65876
105,18405
106,26388
107,16173
108,17103
109,10784
110,16966
111,24124
112,22142
113,27022
114,14278
115,10595
116,10720
117,13850
118,10802
119,16037
120,2456023
121,78416
122,17900
123,37404
124,53237
125,31714
126,46709874
127,10342
128,60327
129,585748
130,132308
131,163240
132,148331
133,115631
134,125917
135,122226
136,145722
137,161732
138,147434
139,132686
140,145834
141,135387
142,107572
143,125718
144,117809
145,144997
146,156596
147,100356
148,177167
149,194172
150,114686
151,161979
152,176281
153,108685
154,93913
155,93918
156,90453
157,90456
158,303633
159,303634
160,184190
161,22465
162,144129
163,147005
164,39305
165,30271
166,56663
167,59631
168,27936
169,262227
170,46853
171,44195
172,24633
173,162927
174,162924
175,134654
176,184168
177,136230
178,140186
179,179751
180,277841
181,277949
182,218914
183,218915
184,20295
185,153719
186,157458
187,151728
188,157472
189,397246
190,380170
191,227886
192,374577
193,361906
194,43053
195,48337
196,45737
197,41443
198,45707
199,43617
200,293640
201,283368
202,300572
203,290300
204,305451
205,295181
206,466754
207,895644
208,20386
209,300240
210,4700160
211,74787840
212,295048
213,1448239
214,156010
215,89161
216,236578
217,952944
218,35031
219,7096240
220,5945844
221,116934
222,14389
223,22266
224,23681
225,10076
226,21749
227,20787
228,20978
229,14936
230,17376
231,14463
232,220635
233,30259
234,55503
235,52775
236,691713
237,11265
238,433718
239,108983
240,26022
241,14894517
242,585308
243,10244
244,1905943
245,105796
246,204011
247,189220
248,133592
249,145522
250,232190
251,73335
252,167718
253,158338
254,134342
255,417959
256,134948
257,120808
258,214416
259,91630
260,31901
261,40152
262,27668
263,25504
264,12673
265,13288
266,13284
267,13788
268,84432
269,32710
270,109228
271,27627
272,19748
273,25281
274,13906
275,347362
276,13158
277,124100
278,278072
279,21920
280,1484298
281,57772
282,42336
283,52592
284,21798
285,27423
286,275432
287,98696
288,522928
289,965828
290,60585
291,60288
292,1402345
293,345963
294,1854653
295,1814901
296,46512
297,66511
298,12673
299,13284
300,32710
301,27791
302,39648
303,68665
304,27750
305,375328
306,558433
307,14354
308,57772
309,227311
310,522928
311,965828
312,60288
313,20703
314,11618
315,11121
316,12731
317,12724
318,12996
319,10207
320,11005
321,11957
322,19096
323,19096
324,57344
325,56832
326,91136
327,61440
328,156360
329,13703
330,45060
331,411376
332,410427
333,71168
334,214779
335,9610194
336,38301
337,59452
338,48823130
339,177220
340,217586
341,311123
342,129337
343,15086
344,122958
345,15353
346,142147
347,7800850
348,16992
349,28160
350,2709618
351,165765
352,143504
353,84515
354,145106
355,2992520
356,103380
357,4511643
358,108848
359,126956
360,75225
361,3127064
362,4197109
363,79360
364,60719
365,138728
366,94840
367,20992
368,87024
369,548521
370,94274
371,88795
372,176674
373,167000
374,62482
375,79848
376,79536
377,35572
378,13312
379,180395
380,32256
381,20001
382,570402
383,70292
384,22528
385,64775
386,14848
387,124020
388,10744
389,57309
390,8496116
391,100137
392,119472
393,86534
394,350888
395,114982
396,888582
397,313256
398,343508
399,15879110
400,8981436
401,776452
402,1457935
403,2536426
404,2148630
405,137213
406,980313
407,540960
408,95624
409,12288
410,13555214
411,492935
412,2037922
413,18432
414,12800
415,25600
416,35328
417,15360
418,44265
419,48740
420,177751
421,49711
422,556428
423,92196
424,1209666
425,910048
426,324527
427,629970
428,70593
429,6683837
430,145027
431,63814
432,160496
433,36754
434,1936254
435,136414
436,646585
437,629899
438,3177750
439,92701
440,20992
441,11776
442,92165
443,88178
444,25600
445,452603
446,452603
447,33280
448,81920
449,73724
450,102410
451,22528
452,11129
453,156695
454,233900
455,1013008
456,33100
457,271094
458,1075562
459,71398
460,259735
461,259054
462,591223
463,145322
464,679841
465,330643
466,611303
467,181833
468,140453
469,148347
470,165059
471,370592
472,655504
473,546299
474,136500
475,41694
476,37376
477,92160
478,110592
479,32768
480,1324032
481,100916
482,51413
483,103031
484,27553
485,53098
486,35474
487,1033988
488,920348
489,227495
490,128493
491,128254
492,687878
493,1227788
494,428199
495,10905
496,126418
497,16066
498,37911
499,1686039
500,980689
501,1247276
502,1605659
503,1033988
504,920348
505,227495
506,128493
507,128254
508,687878
509,1227788
510,428199
511,10905
512,54855
513,27814
514,1686039
515,980689
516,1247276
517,1605659
518,54855
519,27814
520,36307
521,46189
522,16161
523,14765
524,15908
525,17679
526,18053
527,17469
528,32825
529,40271
530,25430
531,10212
532,21623
533,23951
534,23606
535,42264
536,30636
537,16262
538,12292
539,10905296
540,761154
541,1558826
542,11290788
543,1603866
544,2725052
545,2366407
546,3656260
547,2259560
548,810412
549,4347550
550,28992
551,11607
552,12682
553,10500
554,147267
555,63836
556,10310
557,10682
558,36565
559,140190
560,73476
561,187952
562,21452
563,173152
564,226480
565,13296
566,63836
567,36565
568,162954
569,70047
570,36948
571,187952
572,21452
573,173152
574,226480
575,13296
576,63836
577,36565
578,162954
579,70095
580,41044
581,187952
582,21452
583,173152
584,226480
585,13296
586,63836
587,36565
588,162954
589,70111
590,36948
591,187952
592,21452
593,173152
594,226480
595,13296
596,29264
597,11046
598,18973
599,22083
600,27719
601,27103
602,11190
603,107464
604,25684
605,55516
606,40312
607,42510
608,30545
609,30660
610,30733
611,30658
612,30543
613,30547
614,30663
615,30555
616,30550
617,30545
618,30552
619,30711
620,30553
621,30543
622,30551
623,30548
624,14340
625,6363017
626,10240
627,19968
628,44285986
629,15653
630,1667504
631,1554288
632,1820758
633,59904
634,181306
635,95940
636,41984
637,155846
638,167424
639,108032
640,28672
641,57141
642,153600
643,15404
644,62287
645,187460
646,1763986
647,409802
648,163955
649,17118
650,12800
651,24864133
652,23572
653,31076
654,12292
655,10905296
656,761154
657,1558826
658,11290788
659,1603866
660,2725052
661,743936
662,61777
663,2366407
664,3656072
665,2259560
666,810412
667,4347550
668,95517
669,60736
670,10824
671,12180
672,147267
673,32136
674,10396
675,18973
676,21333
677,27689
678,26305
679,11190
680,107464
681,13191
682,27256
683,40312
684,42510
685,30733
686,12292
687,33280
688,67064
689,509998
690,39675
691,35161
692,972976
693,114282260
694,2107523
695,176670
696,629253
697,5441425
698,221937
699,769446
700,416069
701,441083
702,448296
703,1747641
704,538795
705,1500567
706,674235
707,696606
708,7948539
709,911861
710,1790961
711,15724
712,12539
713,15360
714,411418
715,672541
716,1192702
717,151824
718,414165
719,682183
720,215415
721,18929
722,647490
723,1582304
724,1943787
725,63866
726,28017
727,6878760
728,21889485
729,4208743
730,87040
731,4911295
732,389812
733,6614374
734,4809728
735,198959
736,116451
737,389911
738,599064
739,7392132
740,26112
741,302641
742,872229
743,1078142
744,2143647
745,1215260
746,1151986
747,80271
748,21439
749,71757
750,51782
751,417792
752,23547
753,12720
754,25134
755,11422
756,12292
757,678496
758,40302
759,1674682
760,48975
761,3178915
762,296326
763,3491205
764,280382
765,3393001
766,275452
767,3459548
768,253303
769,3531119
770,262925
771,3471211
772,233467
773,3057848
774,219587
775,3610765
776,3854025
777,2058414
778,2256908
779,2085221
780,1871742
781,156176
782,132818
783,159921
784,153792
785,161000
786,157240
787,152479
788,8513590
789,14331958
790,14061622
791,11452470
792,37634102
793,17037366
794,18202678
795,31985718
796,18409526
797,36618294
