mass_A
t,x,y
1.221950000E2,5.794963014E1,6.547194533E0
1.222283333E2,5.799838353E1,6.400934354E0
1.222616667E2,5.794963014E1,6.205920781E0
1.222950000E2,5.799838353E1,5.767140243E0
1.223283333E2,5.799838353E1,5.230852918E0
1.223616667E2,5.809589032E1,4.548305414E0
1.223950000E2,5.809589032E1,3.817004517E0
1.224283333E2,5.819339710E1,2.988196834E0
1.224616667E2,5.804713692E1,2.208142544E0
1.224950000E2,5.804713692E1,7.942941427E-1
1.225283333E2,5.824215050E1,1.117466387E-1
1.225616667E2,5.819339710E1,-9.120746172E-1
1.225950000E2,5.819339710E1,-1.935895873E0
1.226283333E2,5.809589032E1,-2.959717129E0
1.226616667E2,5.799838353E1,-4.032291778E0
1.226950000E2,5.799838353E1,-5.056113034E0
1.227283333E2,5.785212335E1,-5.787413931E0
1.227616667E2,5.785212335E1,-6.664975008E0
1.227950000E2,5.770586317E1,-7.250015725E0
1.228283333E2,5.770586317E1,-7.981316622E0
1.228616667E2,5.775461657E1,-8.371343767E0
1.228950000E2,5.770586317E1,-8.566357340E0
1.229300000E2,5.770586317E1,-8.761370912E0
1.229633333E2,5.770586317E1,-8.761370912E0
1.229966667E2,5.775461657E1,-8.566357340E0
1.230300000E2,5.775461657E1,-8.322590374E0
1.230633333E2,5.780336996E1,-7.981316622E0
1.230966667E2,5.785212335E1,-7.347522511E0
1.231300000E2,5.780336996E1,-6.616221614E0
1.231633333E2,5.785212335E1,-5.884920717E0
1.231966667E2,5.799838353E1,-5.007359641E0
1.232300000E2,5.794963014E1,-3.983538385E0
1.232633333E2,5.790087675E1,-3.057223915E0
1.232966667E2,5.790087675E1,-2.033402659E0
1.233300000E2,5.804713692E1,-8.633212240E-1
1.233633333E2,5.790087675E1,2.092534250E-1
1.233966667E2,5.799838353E1,9.405543221E-1
1.234300000E2,5.785212335E1,1.769362005E0
1.234633333E2,5.780336996E1,2.939443441E0
1.234966667E2,5.775461657E1,3.768251124E0
1.235300000E2,5.760835639E1,4.450798628E0
1.235633333E2,5.760835639E1,5.133346132E0
1.235966667E2,5.770586317E1,5.669633457E0
1.236300000E2,5.760835639E1,6.010907208E0
1.236633333E2,5.755960299E1,6.254674174E0
1.236966667E2,5.755960299E1,6.400934354E0
1.237300000E2,5.760835639E1,6.303427567E0
1.237633333E2,5.770586317E1,6.205920781E0
1.237966667E2,5.775461657E1,5.913400422E0
1.238300000E2,5.775461657E1,5.425866491E0
1.238633333E2,5.780336996E1,4.889579166E0
1.238966667E2,5.794963014E1,4.060771483E0
1.239300000E2,5.785212335E1,3.329470586E0
1.239633333E2,5.785212335E1,2.305649330E0
1.239966667E2,5.794963014E1,1.379334860E0
1.240300000E2,5.804713692E1,3.067602113E-1
